Picture Name,Label,N=3,N=5,N=11,N=21,,
00001,Orthodox Metropolitan Cathedral,0,0,0,0.0769231,,
00002,Orthodox Metropolitan Cathedral,0,0,0,0,,
00003,Orthodox Metropolitan Cathedral,0,0,0,0.05,,
00004,Orthodox Metropolitan Cathedral,0.333333,0.333333,0.333333,0.333333,,
00005,Orthodox Metropolitan Cathedral,0,0,0,0,,
00006,Orthodox Metropolitan Cathedral,0,0,0.1,0.1,,
00007,Orthodox Metropolitan Cathedral,0,0,0,0.0726191,,
00008,Orthodox Metropolitan Cathedral,0,0,0,0,,
00009,Orthodox Metropolitan Cathedral,0,0,0,0,,
00010,Orthodox Metropolitan Cathedral,0,0,0,0,,
00011,Orthodox Metropolitan Cathedral,0,0,0,0,,
00101,St. George's Cathedral,0,0,0,0,,
00102,St. George's Cathedral,0,0,0,0,,
00103,St. George's Cathedral,0,0,0,0,,
00104,St. George's Cathedral,0,0,0,0,,
00105,St. George's Cathedral,0.5,0.5,0.5,0.5,,
00106,St. George's Cathedral,0,0,0,0,,
00107,St. George's Cathedral,0,0,0,0,,
00109,St. George's Cathedral,0,0,0,0,,
00110,St. George's Cathedral,0,0,0,0,,
00111,St. George's Cathedral,0,0,0,0,,
00112,St. George's Cathedral,0,0,0,0,,
00201,Millennium Church,0,0,0,0,,
00202,Millennium Church,0,0,0,0,,
00203,Millennium Church,0,0,0,0,,
00204,Millennium Church,0,0,0,0.0625,,
00205,Millennium Church,0,0.2,0.2,0.2,,
00206,Millennium Church,0,0,0,0,,
00207,Millennium Church,0.5,0.5,0.420635,0.420635,,
00301,Water Tower in Iosefin,0,0,0,0.047619,,
00302,Water Tower in Iosefin,0,0,0.111111,0.111111,,
00401,Water Palace,0,0,0.142857,0.138095,,
00402,Water Palace,0,0,0,0.0625,,
00403,Water Palace,0.5,0.5,0.5,0.5,,
00404,Water Palace,0,0,0,0,,
00405,Water Palace,1,1,0.642857,0.642857,,
00406,Water Palace,0.5,0.5,0.5,0.302632,,
00407,Water Palace,0,0,0,0,,
00408,Water Palace,0,0,0,0,,
00501,Bruck House,0,0.2,0.2,0.2,,
00502,Bruck House,0,0,0,0.0769231,,
00503,Bruck House,1,1,0.809524,0.809524,,
00504,Bruck House,0,0,0,0.0888889,,
00505,Bruck House,0,0,0,0,,
00506,Bruck House,1,1,0.642857,0.642857,,
00507,Bruck House,0,0.25,0.343885,0.346537,,
00508,Bruck House,0,0,0,0,,
00509,Bruck House,0,0,0,0.0857143,,
00510,Bruck House,0,0,0,0.0714286,,
00511,Bruck House,0,0,0,0,,
00512,Bruck House,0.5,0.5,0.5,0.5,,
00513,Bruck House,0,0.25,0.25,0.25,,
00514,Bruck House,1,1,1,1,,
00601,Swabian Bank,0,0,0,0,,
00602,Swabian Bank,0,0,0,0,,
00603,Swabian Bank,0,0,0,0,,
00604,Swabian Bank,0,0,0,0,,
00605,Swabian Bank,0,0,0,0,,
00606,Swabian Bank,0,0,0,0,,
00607,Swabian Bank,0,0,0,0,,
00608,Swabian Bank,0,0,0,0,,
00609,Swabian Bank,0,0,0,0,,
00610,Swabian Bank,0,0,0,0.0666667,,
00611,Swabian Bank,0,0,0,0,,
00612,Swabian Bank,0,0,0,0,,
00701,Serbian Orthodox Episcopal Palace,0,0,0,0.0625,,
00702,Serbian Orthodox Episcopal Palace,0.583333,0.583333,0.583333,0.436508,,
00703,Serbian Orthodox Episcopal Palace,0,0,0.174242,0.174242,,
00704,Serbian Orthodox Episcopal Palace,0.333333,0.333333,0.277778,0.262108,,
00705,Serbian Orthodox Episcopal Palace,0,0,0,0.0714286,,
00706,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00707,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00708,Serbian Orthodox Episcopal Palace,0,0.25,0.25,0.25,,
00709,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00710,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00711,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00712,Serbian Orthodox Episcopal Palace,0,0,0,0,,
00713,Serbian Orthodox Episcopal Palace,0.833333,0.755556,0.755556,0.755556,,
00714,Serbian Orthodox Episcopal Palace,0.5,0.5,0.5,0.5,,
00801,Iosefin Synagogue,1,1,1,1,,
00802,Iosefin Synagogue,1,1,1,1,,
00803,Iosefin Synagogue,0,0.2,0.2,0.2,,
00804,Iosefin Synagogue,0,0,0,0,,
00805,Iosefin Synagogue,0,0,0,0.0714286,,
00901,Reformed Church,0,0,0,0,,
00902,Reformed Church,0,0,0.166667,0.160256,,
00903,Reformed Church,0,0,0,0,,
00904,Reformed Church,0,0.25,0.267857,0.267857,,
00905,Reformed Church,0,0,0.166667,0.166667,,
00906,Reformed Church,0,0,0,0,,
00907,Reformed Church,0,0,0,0,,
01001,Nativity Blessed Virgin Mary Church,1,1,1,1,,
01002,Nativity Blessed Virgin Mary Church,1,1,1,1,,
01003,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01004,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01005,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01006,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01007,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01101,Building 22 Str. Stefan cel Mare,1,1,1,1,,
01102,Building 22 Str. Stefan cel Mare,1,1,1,1,,
01103,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01104,Building 22 Str. Stefan cel Mare,0,0,0,0,,
01105,Building 22 Str. Stefan cel Mare,0,0,0,0.0666667,,
01106,Building 22 Str. Stefan cel Mare,0,0,0,0.0666667,,
01107,Building 22 Str. Stefan cel Mare,0,0,0,0.0526316,,
01201,Central Library of the University Politehnica Timisoara,0,0,0,0.0526316,,
01202,Central Library of the University Politehnica Timisoara,0,0,0,0,,
01203,Central Library of the University Politehnica Timisoara,0,0,0,0,,
01204,Central Library of the University Politehnica Timisoara,0,0.25,0.25,0.25,,
01205,Central Library of the University Politehnica Timisoara,0,0,0,0,,
01206,Central Library of the University Politehnica Timisoara,0,0,0,0,,
01207,Central Library of the University Politehnica Timisoara,0,0,0,0,,
01208,Central Library of the University Politehnica Timisoara,0,0,0,0,,
01209,Central Library of the University Politehnica Timisoara,0,0,0,0.047619,,
01210,Central Library of the University Politehnica Timisoara,0,0,0,0.0833333,,
01301,INCUBOXX,0,0,0,0,,
01302,INCUBOXX,0,0,0,0,,
01303,INCUBOXX,0,0,0,0,,
