Picture Name,Label,N=3,N=5,N=11,N=21,,
00001,Orthodox Metropolitan Cathedral,1,1,0.666667,0.5,,
00002,Orthodox Metropolitan Cathedral,0,0,0.142857,0.142857,,
00003,Orthodox Metropolitan Cathedral,1,1,1,0.571429,,
00004,Orthodox Metropolitan Cathedral,1,1,1,0.55,,
00005,Orthodox Metropolitan Cathedral,0,0.2,0.2,0.2,,
00006,Orthodox Metropolitan Cathedral,0,0.2,0.2,0.152632,,
00007,Orthodox Metropolitan Cathedral,1,1,1,0.576923,,
00008,Orthodox Metropolitan Cathedral,0.5,0.5,0.5,0.302632,,
00009,Orthodox Metropolitan Cathedral,0,0.2,0.266667,0.254701,,
00010,Orthodox Metropolitan Cathedral,0,0,0,0,,
00011,Orthodox Metropolitan Cathedral,1,0.7,0.609524,0.519643,,
00101,St. George's Cathedral,0,0,0,0,,
00102,St. George's Cathedral,0.5,0.5,0.5,0.5,,
00103,St. George's Cathedral,0,0,0,0.0666667,,
00104,St. George's Cathedral,1,1,1,1,,
00105,St. George's Cathedral,1,0.95,0.885,0.885,,
00106,St. George's Cathedral,1,1,0.757576,0.757576,,
00107,St. George's Cathedral,1,1,0.875,0.875,,
00109,St. George's Cathedral,0.333333,0.416667,0.416667,0.416667,,
00110,St. George's Cathedral,1,1,1,1,,
00111,St. George's Cathedral,0,0,0,0,,
00112,St. George's Cathedral,0.833333,0.833333,0.722222,0.722222,,
00201,Millennium Church,1,1,1,1,,
00202,Millennium Church,1,1,1,1,,
00203,Millennium Church,1,1,1,1,,
00204,Millennium Church,1,1,1,0.719298,,
00205,Millennium Church,0,0,0,0,,
00206,Millennium Church,0,0,0,0,,
00207,Millennium Church,1,1,1,1,,
00301,Water Tower in Iosefin,1,1,1,1,,
00302,Water Tower in Iosefin,1,1,1,1,,
00401,Water Palace,1,1,1,1,,
00402,Water Palace,0,0,0,0,,
00403,Water Palace,1,1,1,0.425397,,
00404,Water Palace,0,0,0.125,0.147222,,
00405,Water Palace,0.5,0.5,0.5,0.321429,,
00406,Water Palace,1,1,0.642857,0.642857,,
00407,Water Palace,0,0,0.166667,0.166667,,
00408,Water Palace,1,1,1,1,,
00501,Bruck House,0,0,0,0,,
00502,Bruck House,1,0.75,0.75,0.75,,
00503,Bruck House,1,0.866667,0.764444,0.687037,,
00504,Bruck House,1,1,0.875,0.875,,
00505,Bruck House,1,1,0.794728,0.77872,,
00506,Bruck House,1,1,0.791667,0.791667,,
00507,Bruck House,1,1,0.821068,0.756404,,
00508,Bruck House,1,0.7,0.7,0.552967,,
00509,Bruck House,0,0,0.125,0.17252,,
00510,Bruck House,0,0.25,0.25,0.25,,
00511,Bruck House,0.833333,0.833333,0.610417,0.610417,,
00512,Bruck House,1,1,0.590909,0.465368,,
00513,Bruck House,1,0.75,0.75,0.75,,
00514,Bruck House,1,1,0.757576,0.757576,,
00601,Swabian Bank,0,0,0,0,,
00602,Swabian Bank,0,0,0,0,,
00603,Swabian Bank,0,0,0,0,,
00604,Swabian Bank,0,0,0,0,,
00605,Swabian Bank,0,0,0,0,,
00606,Swabian Bank,1,1,1,1,,
00607,Swabian Bank,1,1,1,1,,
00608,Swabian Bank,0,0,0,0,,
00609,Swabian Bank,0,0,0,0,,
00610,Swabian Bank,1,1,1,1,,
00611,Swabian Bank,0.5,0.5,0.5,0.5,,
00612,Swabian Bank,0,0,0,0,,
00701,Serbian Orthodox Episcopal Palace,1,1,0.925,0.925,,
00702,Serbian Orthodox Episcopal Palace,1,1,1,0.883333,,
00703,Serbian Orthodox Episcopal Palace,1,1,0.948052,0.948052,,
00704,Serbian Orthodox Episcopal Palace,1,1,0.937925,0.873316,,
00705,Serbian Orthodox Episcopal Palace,1,1,1,0.605556,,
00706,Serbian Orthodox Episcopal Palace,0.833333,0.833333,0.680556,0.680556,,
00707,Serbian Orthodox Episcopal Palace,1,0.916667,0.916667,0.916667,,
00708,Serbian Orthodox Episcopal Palace,1,0.75,0.75,0.547619,,
00709,Serbian Orthodox Episcopal Palace,1,1,0.777778,0.645833,,
00710,Serbian Orthodox Episcopal Palace,1,1,0.551587,0.524603,,
00711,Serbian Orthodox Episcopal Palace,0,0,0.1,0.1,,
00712,Serbian Orthodox Episcopal Palace,1,1,1,1,,
00713,Serbian Orthodox Episcopal Palace,1,1,1,1,,
00714,Serbian Orthodox Episcopal Palace,1,1,0.892857,0.892857,,
00801,Iosefin Synagogue,1,1,1,1,,
00802,Iosefin Synagogue,1,1,1,1,,
00803,Iosefin Synagogue,0,0,0,0,,
00804,Iosefin Synagogue,1,1,1,1,,
00805,Iosefin Synagogue,0,0,0.142857,0.142857,,
00901,Reformed Church,0,0,0,0,,
00902,Reformed Church,1,1,0.590909,0.590909,,
00903,Reformed Church,1,1,1,1,,
00904,Reformed Church,1,1,1,0.571429,,
00905,Reformed Church,1,1,1,1,,
00906,Reformed Church,0,0,0,0,,
00907,Reformed Church,0.583333,0.583333,0.583333,0.583333,,
01001,Nativity Blessed Virgin Mary Church,1,1,1,1,,
01002,Nativity Blessed Virgin Mary Church,1,1,1,1,,
01003,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01004,Nativity Blessed Virgin Mary Church,0,0,0,0.0769231,,
01005,Nativity Blessed Virgin Mary Church,0,0,0,0,,
01006,Nativity Blessed Virgin Mary Church,0,0,0,0.0666667,,
01007,Nativity Blessed Virgin Mary Church,0,0,0.111111,0.122222,,
01101,Building 22 Str. Stefan cel Mare,1,1,1,1,,
01102,Building 22 Str. Stefan cel Mare,1,1,1,1,,
01103,Building 22 Str. Stefan cel Mare,0.5,0.45,0.45,0.45,,
