Picture Name,Label,N=3,N=5,N=11,N=21,,
00001,Orthodox Metropolitan Cathedral,0,0,0.111111,0.126984,,
00002,Orthodox Metropolitan Cathedral,0,0,0.125,0.118056,,
00003,Orthodox Metropolitan Cathedral,0,0,0,0,,
00004,Orthodox Metropolitan Cathedral,0,0,0.1,0.1,,
00005,Orthodox Metropolitan Cathedral,0,0,0,0,,
00006,Orthodox Metropolitan Cathedral,0,0,0,0,,
00007,Orthodox Metropolitan Cathedral,0,0,0,0,,
00008,Orthodox Metropolitan Cathedral,0.333333,0.333333,0.333333,0.333333,,
00009,Orthodox Metropolitan Cathedral,0,0,0,0,,
00010,Orthodox Metropolitan Cathedral,0,0,0,0,,
00011,Orthodox Metropolitan Cathedral,0,0,0,0.0526316,,
00101,St. George's Cathedral,0,0,0,0,,
00102,St. George's Cathedral,0,0,0,0.0769231,,
00103,St. George's Cathedral,0,0,0.125,0.1125,,
00104,St. George's Cathedral,0,0,0,0,,
00105,St. George's Cathedral,0,0,0,0.05,,
00106,St. George's Cathedral,0,0.25,0.25,0.25,,
00107,St. George's Cathedral,0.5,0.5,0.5,0.5,,
00109,St. George's Cathedral,0,0,0,0,,
00110,St. George's Cathedral,0,0,0,0,,
00111,St. George's Cathedral,0,0.2,0.2,0.2,,
00112,St. George's Cathedral,0,0,0,0,,
00201,Millennium Church,0,0,0,0,,
00202,Millennium Church,0,0,0,0,,
00203,Millennium Church,0,0,0.1,0.1,,
00204,Millennium Church,0,0,0,0.0833333,,
00205,Millennium Church,0.5,0.5,0.5,0.5,,
00206,Millennium Church,0,0.25,0.25,0.25,,
00207,Millennium Church,1,1,1,1,,
00301,Water Tower in Iosefin,0,0,0,0,,
00302,Water Tower in Iosefin,0,0,0,0,,
00401,Water Palace,1,1,1,1,,
00402,Water Palace,0,0,0.125,0.145833,,
00403,Water Palace,1,1,1,1,,
00404,Water Palace,0,0,0,0.0833333,,
00405,Water Palace,0,0.25,0.25,0.197115,,
00406,Water Palace,0,0,0.0909091,0.104278,,
00407,Water Palace,0,0,0,0.102381,,
00408,Water Palace,0,0,0,0.0526316,,
00501,Bruck House,1,0.75,0.75,0.490132,,
