Picture Name,Label,N=3,N=5,N=11,N=21,,
00001,Orthodox Metropolitan Cathedral,0,0,0.142857,0.148352,,
00002,Orthodox Metropolitan Cathedral,0.5,0.5,0.375,0.284375,,
00003,Orthodox Metropolitan Cathedral,1,1,1,1,,
00004,Orthodox Metropolitan Cathedral,1,1,0.611111,0.611111,,
00005,Orthodox Metropolitan Cathedral,0,0,0,0.14156,,
00006,Orthodox Metropolitan Cathedral,0,0,0,0,,
00007,Orthodox Metropolitan Cathedral,0,0,0,0,,
00008,Orthodox Metropolitan Cathedral,0,0,0,0,,
00009,Orthodox Metropolitan Cathedral,0,0.25,0.25,0.25,,
00010,Orthodox Metropolitan Cathedral,0,0,0,0,,
00011,Orthodox Metropolitan Cathedral,0,0,0.111111,0.126984,,
00101,St. George's Cathedral,0,0,0,0,,
00102,St. George's Cathedral,1,0.916667,0.916667,0.75,,
00103,St. George's Cathedral,0,0,0,0,,
00104,St. George's Cathedral,0,0,0,0,,
00105,St. George's Cathedral,1,1,0.892857,0.769841,,
00106,St. George's Cathedral,1,1,1,1,,
00107,St. George's Cathedral,0.833333,0.833333,0.833333,0.833333,,
00109,St. George's Cathedral,0,0,0,0,,
00110,St. George's Cathedral,1,1,1,0.5625,,
00111,St. George's Cathedral,0,0.2,0.2,0.2,,
00112,St. George's Cathedral,1,0.75,0.75,0.75,,
00201,Millennium Church,1,1,0.809524,0.809524,,
00202,Millennium Church,1,1,1,1,,
00203,Millennium Church,1,0.95,0.95,0.95,,
00204,Millennium Church,1,1,1,0.602431,,
00205,Millennium Church,1,1,1,1,,
00206,Millennium Church,0,0.25,0.25,0.25,,
00207,Millennium Church,1,1,1,1,,
00301,Water Tower in Iosefin,0,0,0,0,,
00302,Water Tower in Iosefin,0.5,0.5,0.5,0.5,,
00401,Water Palace,1,1,1,1,,
00402,Water Palace,0,0,0.125,0.133929,,
00403,Water Palace,1,1,1,0.738095,,
00404,Water Palace,1,1,0.642857,0.491071,,
00405,Water Palace,1,0.916667,0.916667,0.735119,,
00406,Water Palace,1,1,0.732143,0.732143,,
00407,Water Palace,1,1,1,0.438889,,
00408,Water Palace,0.833333,0.805556,0.770833,0.770833,,
00501,Bruck House,0.5,0.45,0.399242,0.384509,,
00502,Bruck House,1,0.95,0.95,0.95,,
00503,Bruck House,1,1,0.982143,0.871732,,
00504,Bruck House,1,1,0.910552,0.886303,,
00505,Bruck House,1,1,0.885714,0.842517,,
00506,Bruck House,1,1,1,0.816667,,
00507,Bruck House,1,1,1,0.933824,,
00508,Bruck House,1,1,1,0.425397,,
00509,Bruck House,1,0.95,0.86,0.732851,,
00510,Bruck House,1,1,0.791667,0.670673,,
00511,Bruck House,1,1,0.925,0.847756,,
,,,,,,,
,,,,,,,
,,64.33%,64.44%,60.97%,53.88%,,60.91%
